hs_chapter,category_slug,category_display_name,chapter_title
73,iron_steel_metal_articles,Iron Steel & Metal Articles,ARTICLES OF IRON OR STEEL
74,non_ferrous_metals,Non-Ferrous Metals,COPPER AND ARTICLES THEREOF
75,non_ferrous_metals,Non-Ferrous Metals,NICKEL AND ARTICLES THEREOF
76,non_ferrous_metals,Non-Ferrous Metals,ALUMINIUM AND ARTICLES THEREOF
78,non_ferrous_metals,Non-Ferrous Metals,LEAD AND ARTICLES THEREOF
79,non_ferrous_metals,Non-Ferrous Metals,ZINC AND ARTICLES THEREOF
80,non_ferrous_metals,Non-Ferrous Metals,TIN AND ARTICLES THEREOF
81,non_ferrous_metals,Non-Ferrous Metals,OTHER BASE METALS; CERMETS; ARTICLES THEREOF
82,iron_steel_metal_articles,Iron Steel & Metal Articles,"TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL"
83,iron_steel_metal_articles,Iron Steel & Metal Articles,MISCELLANEOUS ARTICLES OF BASE METAL
84,industrial_machinery,Industrial Machinery,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES"
85,electronics_electrical,Electronics & Electrical Equipment,"ELECTRICAL MACHINERY AND EQUIPMENT; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS"
86,vehicles_aircraft_marine,Vehicles Aircraft & Marine Vessels,RAILWAY OR TRAMWAY LOCOMOTIVES; ROLLING STOCK AND PARTS THEREOF
87,vehicles_aircraft_marine,Vehicles Aircraft & Marine Vessels,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK
88,vehicles_aircraft_marine,Vehicles Aircraft & Marine Vessels,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF"
89,vehicles_aircraft_marine,Vehicles Aircraft & Marine Vessels,"SHIPS, BOATS AND FLOATING STRUCTURES"
90,optical_medical_precision,Optical Medical & Precision Instruments,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS"
91,clocks_watches_musical,Clocks Watches & Musical Instruments,CLOCKS AND WATCHES AND PARTS THEREOF
92,clocks_watches_musical,Clocks Watches & Musical Instruments,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES
93,arms_ammunition,Arms & Ammunition,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF
94,furniture_lighting,Furniture & Lighting,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS; LUMINAIRES AND LIGHTING FITTINGS"
95,toys_games_sports,Toys Games & Sports Equipment,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF"
96,misc_manufactured,Miscellaneous Manufactured Articles,MISCELLANEOUS MANUFACTURED ARTICLES
97,art_antiques_collectibles,Art Antiques & Collectibles,"WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES"
