hs_chapter,signal_class,keyword,target_chapter,suppress_category_slug,head_noun
46,anchor,basketwork,,,
46,anchor,straw mat,,,
46,anchor,bamboo basket,,,
47,anchor,wood pulp,,,
47,anchor,paper pulp,,,
47,anchor,recovered paper,,,
47,anchor,waste paper,,,
48,anchor,paper,,,
48,anchor,paperboard,,,
48,anchor,cardboard,,,
48,anchor,newsprint,,,
48,anchor,kraft paper,,,
48,anchor,toilet paper,,,
48,anchor,tissue paper,,,
49,anchor,books,,,
49,anchor,magazines,,,
49,anchor,newspapers,,,
49,anchor,printed matter,,,
49,anchor,greeting cards,,,
49,anchor,maps,,,
50,anchor,silk,,,
50,anchor,raw silk,,,
50,anchor,silk yarn,,,
50,anchor,silk fabric,,,
51,anchor,wool,,,
51,anchor,wool yarn,,,
51,anchor,raw wool,,,
51,anchor,horsehair,,,
51,anchor,cashmere,,,
52,anchor,cotton,,,
52,anchor,raw cotton,,,
52,anchor,cotton yarn,,,
52,anchor,cotton fabric,,,
52,anchor,cotton thread,,,
53,anchor,jute,,,
53,anchor,flax,,,
53,anchor,hemp fibre,,,
53,anchor,sisal,,,
54,anchor,polyester filament,,,
54,anchor,nylon filament,,,
54,anchor,viscose,,,
54,anchor,synthetic yarn,,,
55,anchor,polyester staple,,,
55,anchor,acrylic fibre,,,
55,anchor,man-made staple,,,
56,anchor,nonwoven fabric,,,
56,anchor,felt,,,
56,anchor,rope,,,
56,anchor,twine,,,
56,anchor,cordage,,,
57,anchor,carpet,,,
57,anchor,rug,,,
57,anchor,floor covering,,,
57,anchor,oriental rug,,,
58,anchor,lace,,,
58,anchor,embroidery,,,
58,anchor,tapestry,,,
58,anchor,woven trim,,,
59,anchor,tarpaulin,,,
59,anchor,coated fabric,,,
59,anchor,canvas,,,
59,anchor,laminated textile,,,
60,anchor,knitted fabric,,,
60,anchor,jersey fabric,,,
60,anchor,crochet fabric,,,
61,anchor,t-shirt,,,
61,anchor,knit sweater,,,
61,anchor,knitted apparel,,,
61,anchor,polo shirt,,,
61,anchor,knit dress,,,
62,anchor,business suit,,,
62,anchor,jacket,,,
62,anchor,trousers,,,
62,anchor,dress shirt,,,
62,anchor,jeans,,,
62,anchor,coat,,,
62,anchor,blouse,,,
63,anchor,bedsheet,,,
63,anchor,towel,,,
63,anchor,blanket,,,
63,anchor,curtain,,,
63,anchor,worn clothing,,,
63,anchor,used clothing,,,
63,anchor,rags,,,
64,anchor,shoes,,,
64,anchor,boots,,,
64,anchor,sneakers,,,
64,anchor,sandals,,,
64,anchor,footwear,,,
64,anchor,athletic shoes,,,
65,anchor,hat,,,
65,anchor,cap,,,
65,anchor,helmet,,,
65,anchor,headwear,,,
66,anchor,umbrella,,,
66,anchor,walking stick,,,
66,anchor,walking cane,,,
67,anchor,artificial flower,,,
67,anchor,prepared feathers,,,
67,anchor,wig,,,
67,anchor,artificial eyelashes,,,
68,anchor,marble tile,,,
68,anchor,granite slab,,,
68,anchor,asbestos,,,
68,anchor,mica products,,,
68,anchor,stone article,,,
69,anchor,ceramic tile,,,
69,anchor,porcelain,,,
69,anchor,ceramic ware,,,
69,anchor,sanitary ware,,,
69,anchor,refractory brick,,,
70,anchor,glass,,,
70,anchor,glassware,,,
70,anchor,glass bottle,,,
70,anchor,window glass,,,
70,anchor,laboratory glass,,,
70,anchor,glass fibre,,,
71,anchor,gold,,,
71,anchor,silver,,,
71,anchor,diamond,,,
71,anchor,jewellery,,,
71,anchor,jewelry,,,
71,anchor,pearls,,,
71,anchor,precious stones,,,
71,anchor,platinum,,,
96,suppressor,costume jewellery,,jewellery_precious_metals,
96,suppressor,fashion jewelry,,jewellery_precious_metals,
72,anchor,steel,,,
72,anchor,iron,,,
72,anchor,steel bars,,,
72,anchor,steel coils,,,
72,anchor,pig iron,,,
72,anchor,steel ingot,,,
72,anchor,stainless steel,,,
73,anchor,steel pipe,,,
73,anchor,steel wire,,,
73,anchor,iron container,,,
73,anchor,steel structure,,,
73,anchor,nails,,,
73,anchor,screws,,,
73,anchor,bolts,,,
74,anchor,copper,,,
74,anchor,copper wire,,,
74,anchor,copper cathode,,,
74,anchor,brass,,,
74,anchor,bronze,,,
75,anchor,nickel,,,
75,anchor,nickel alloy,,,
76,anchor,aluminium,,,
76,anchor,aluminum,,,
76,anchor,aluminium foil,,,
76,anchor,aluminium sheet,,,
78,anchor,lead,,,
78,anchor,lead ingot,,,
79,anchor,zinc,,,
79,anchor,zinc plate,,,
79,anchor,galvanised,,,
80,anchor,tin plate,,,
80,anchor,tinfoil,,,
80,anchor,tin ingot,,,
81,anchor,tungsten,,,
81,anchor,molybdenum,,,
81,anchor,cobalt,,,
81,anchor,titanium metal,,,
82,anchor,hand tools,,,
82,anchor,knife,,,
82,anchor,scissors,,,
82,anchor,cutlery,,,
82,anchor,saw blade,,,
82,anchor,drill bit,,,
82,anchor,wrench,,,
95,suppressor,toy knife,,iron_steel_metal_articles,
83,anchor,padlock,,,
83,anchor,hinges,,,
83,anchor,metal fittings,,,
83,anchor,brass hardware,,,
83,anchor,bell,,,
84,anchor,industrial machinery,,,
84,anchor,nuclear reactor,,,
84,anchor,boiler,,,
84,anchor,turbine,,,
84,anchor,industrial pump,,,
84,anchor,compressor,,,
84,anchor,industrial machine parts,,,
84,anchor,centrifuge,,,
84,anchor,bulldozer,,,
84,modifier,industrial,84,,pump
85,anchor,smartphone,,,
85,anchor,laptop,,,
85,anchor,television,,,
85,anchor,electronics,,,
85,anchor,semiconductor,,,
85,anchor,integrated circuit,,,
85,anchor,electrical motor,,,
85,anchor,transformer,,,
85,anchor,wifi router,,,
85,anchor,lithium-ion battery,,,
85,anchor,li-ion battery,,,
85,modifier,li-ion,85,,battery
85,modifier,lithium-ion,85,,battery
85,modifier,android,85,,tablet
85,modifier,wireless,85,,router
86,anchor,locomotive,,,
86,anchor,railway carriage,,,
86,anchor,rail wagon,,,
86,anchor,railway track,,,
86,anchor,railway signal,,,
87,anchor,passenger car,,,
87,anchor,sedan,,,
87,anchor,suv,,,
87,anchor,motor vehicle,,,
87,anchor,truck,,,
87,anchor,bus,,,
87,anchor,motorcycle,,,
87,anchor,car parts,,,
87,anchor,brake pads,,,
87,modifier,lead-acid,87,,battery
88,anchor,aircraft,,,
88,anchor,airplane parts,,,
88,anchor,helicopter,,,
88,anchor,jet engine,,,
88,anchor,satellite,,,
88,anchor,spacecraft,,,
88,anchor,drone,,,
89,anchor,ship,,,
89,anchor,boat,,,
89,anchor,vessel,,,
89,anchor,yacht,,,
89,anchor,floating platform,,,
89,anchor,marine vessel,,,
90,anchor,microscope,,,
90,anchor,medical device,,,
90,anchor,thermometer,,,
90,anchor,x-ray machine,,,
90,anchor,surgical instrument,,,
90,anchor,measuring instrument,,,
90,anchor,camera,,,
90,anchor,binoculars,,,
90,anchor,prosthesis,,,
91,anchor,wristwatch,,,
91,anchor,wall clock,,,
91,anchor,watch movement,,,
91,anchor,clock parts,,,
92,anchor,piano,,,
92,anchor,guitar,,,
92,anchor,violin,,,
92,anchor,musical instrument,,,
92,anchor,drum,,,
93,anchor,m16 rifle,,,
93,anchor,ak-47,,,
93,anchor,ammunition,,,
93,anchor,5.56mm,,,
93,anchor,9mm rounds,,,
93,anchor,assault rifle,,,
93,anchor,handgun,,,
93,anchor,artillery shell,,,
95,suppressor,toy gun,,arms_ammunition,
95,suppressor,airsoft,,arms_ammunition,
95,suppressor,paintball,,arms_ammunition,
94,anchor,furniture,,,
94,anchor,sofa,,,
94,anchor,office chair,,,
94,anchor,mattress,,,
94,anchor,bedding,,,
94,anchor,desk,,,
94,anchor,wardrobe,,,
94,anchor,led lamp,,,
94,anchor,lighting fixture,,,
95,anchor,plush toy,,,
95,anchor,doll,,,
95,anchor,board game,,,
95,anchor,puzzle,,,
95,anchor,toy,,,
95,anchor,sports equipment,,,
87,anchor,bicycle,,,
95,anchor,fishing rod,,,
95,anchor,golf club,,,
93,suppressor,military-grade,,toys_games_sports,
96,anchor,buttons,,,
96,anchor,zip fastener,,,
96,anchor,pencil,,,
96,anchor,pen,,,
96,anchor,toothbrush,,,
96,anchor,cigarette lighter,,,
96,anchor,vacuum flask,,,
97,anchor,painting,,,
97,anchor,sculpture,,,
97,anchor,antique,,,
97,anchor,collector items,,,
97,anchor,artwork,,,
97,anchor,original artwork,,,
