id,keyword,hs_chapter,signal_class,status,in_own_chapter_source,appears_in_n_chapters,reason
10311,cork stopper,45,anchor,flagged,False,0,not_in_any_source_text
10316,bamboo basket,46,anchor,flagged,False,0,not_in_any_source_text
10315,straw mat,46,anchor,flagged,False,0,not_in_any_source_text
10318,paper pulp,47,anchor,review,False,3,"in_other_chapters:48,84,96"
10319,recovered paper,47,anchor,flagged,False,0,not_in_any_source_text
10320,waste paper,47,anchor,flagged,False,0,not_in_any_source_text
10323,cardboard,48,anchor,flagged,False,0,not_in_any_source_text
10332,greeting cards,49,anchor,flagged,False,0,not_in_any_source_text
10329,magazines,49,anchor,flagged,False,0,not_in_any_source_text
10337,silk fabric,50,anchor,flagged,False,0,not_in_any_source_text
10340,raw wool,51,anchor,flagged,False,0,not_in_any_source_text
10346,cotton fabric,52,anchor,flagged,False,0,not_in_any_source_text
10347,cotton thread,52,anchor,flagged,False,0,not_in_any_source_text
10344,raw cotton,52,anchor,flagged,False,0,not_in_any_source_text
10350,hemp fibre,53,anchor,flagged,False,0,not_in_any_source_text
10351,sisal,53,anchor,review,False,1,in_other_chapters:56
10353,nylon filament,54,anchor,flagged,False,0,not_in_any_source_text
10355,synthetic yarn,54,anchor,flagged,False,0,not_in_any_source_text
10357,acrylic fibre,55,anchor,flagged,False,0,not_in_any_source_text
10359,nonwoven fabric,56,anchor,flagged,False,0,not_in_any_source_text
10367,oriental rug,57,anchor,flagged,False,0,not_in_any_source_text
10371,woven trim,58,anchor,flagged,False,0,not_in_any_source_text
10373,coated fabric,59,anchor,flagged,False,0,not_in_any_source_text
10372,tarpaulin,59,anchor,review,False,1,in_other_chapters:63
10378,crochet fabric,60,anchor,flagged,False,0,not_in_any_source_text
10377,jersey fabric,60,anchor,flagged,False,0,not_in_any_source_text
10376,knitted fabric,60,anchor,flagged,False,0,not_in_any_source_text
10383,knit dress,61,anchor,flagged,False,0,not_in_any_source_text
10380,knit sweater,61,anchor,flagged,False,0,not_in_any_source_text
10381,knitted apparel,61,anchor,flagged,False,0,not_in_any_source_text
10382,polo shirt,61,anchor,flagged,False,0,not_in_any_source_text
10384,business suit,62,anchor,flagged,False,0,not_in_any_source_text
10388,jeans,62,anchor,flagged,False,0,not_in_any_source_text
10391,bedsheet,63,anchor,review,False,1,in_other_chapters:48
10396,used clothing,63,anchor,flagged,False,0,not_in_any_source_text
10403,athletic shoes,64,anchor,flagged,False,0,not_in_any_source_text
10400,sneakers,64,anchor,flagged,False,0,not_in_any_source_text
10410,walking cane,66,anchor,flagged,False,0,not_in_any_source_text
10414,artificial eyelashes,67,anchor,flagged,False,0,not_in_any_source_text
10416,granite slab,68,anchor,flagged,False,0,not_in_any_source_text
10415,marble tile,68,anchor,flagged,False,0,not_in_any_source_text
10418,mica products,68,anchor,flagged,False,0,not_in_any_source_text
10419,stone article,68,anchor,flagged,False,0,not_in_any_source_text
10423,sanitary ware,69,anchor,review,False,7,"in_other_chapters:39,71,73,74,76"
10427,glass bottle,70,anchor,flagged,False,0,not_in_any_source_text
10429,laboratory glass,70,anchor,flagged,False,0,not_in_any_source_text
10428,window glass,70,anchor,flagged,False,0,not_in_any_source_text
10443,steel bars,72,anchor,flagged,False,0,not_in_any_source_text
10444,steel coils,72,anchor,flagged,False,0,not_in_any_source_text
10446,steel ingot,72,anchor,review,False,1,in_other_chapters:84
10450,iron container,73,anchor,flagged,False,0,not_in_any_source_text
10451,steel structure,73,anchor,flagged,False,0,not_in_any_source_text
10457,copper cathode,74,anchor,flagged,False,0,not_in_any_source_text
10465,aluminium sheet,76,anchor,flagged,False,0,not_in_any_source_text
10467,lead ingot,78,anchor,flagged,False,0,not_in_any_source_text
10470,galvanised,79,anchor,flagged,False,0,not_in_any_source_text
10472,tinfoil,80,anchor,flagged,False,0,not_in_any_source_text
10473,tin ingot,80,anchor,flagged,False,0,not_in_any_source_text
10477,titanium metal,81,anchor,flagged,False,0,not_in_any_source_text
10489,brass hardware,83,anchor,flagged,False,0,not_in_any_source_text
10488,metal fittings,83,anchor,flagged,False,0,not_in_any_source_text
10497,industrial machine parts,84,anchor,flagged,False,0,not_in_any_source_text
10491,industrial machinery,84,anchor,flagged,False,0,not_in_any_source_text
10495,industrial pump,84,anchor,flagged,False,0,not_in_any_source_text
10507,electrical motor,85,anchor,flagged,False,0,not_in_any_source_text
10504,electronics,85,anchor,review,False,1,in_other_chapters:38
10502,laptop,85,anchor,flagged,False,0,not_in_any_source_text
10511,li-ion battery,85,anchor,flagged,False,0,not_in_any_source_text
10510,lithium-ion battery,85,anchor,flagged,False,0,not_in_any_source_text
10509,wifi router,85,anchor,flagged,False,0,not_in_any_source_text
10518,rail wagon,86,anchor,flagged,False,0,not_in_any_source_text
10517,railway carriage,86,anchor,flagged,False,0,not_in_any_source_text
10520,railway signal,86,anchor,flagged,False,0,not_in_any_source_text
10519,railway track,86,anchor,flagged,False,0,not_in_any_source_text
10529,brake pads,87,anchor,flagged,False,0,not_in_any_source_text
10528,car parts,87,anchor,flagged,False,0,not_in_any_source_text
10521,passenger car,87,anchor,flagged,False,0,not_in_any_source_text
10522,sedan,87,anchor,flagged,False,0,not_in_any_source_text
10523,suv,87,anchor,flagged,False,0,not_in_any_source_text
10532,airplane parts,88,anchor,flagged,False,0,not_in_any_source_text
10537,drone,88,anchor,flagged,False,0,not_in_any_source_text
10534,jet engine,88,anchor,review,False,1,in_other_chapters:84
10542,floating platform,89,anchor,flagged,False,0,not_in_any_source_text
10543,marine vessel,89,anchor,flagged,False,0,not_in_any_source_text
10545,medical device,90,anchor,flagged,False,0,not_in_any_source_text
10552,prosthesis,90,anchor,flagged,False,0,not_in_any_source_text
10547,x-ray machine,90,anchor,flagged,False,0,not_in_any_source_text
10556,clock parts,91,anchor,flagged,False,0,not_in_any_source_text
10565,5.56mm,93,anchor,flagged,False,0,not_in_any_source_text
10566,9mm rounds,93,anchor,flagged,False,0,not_in_any_source_text
10563,ak-47,93,anchor,flagged,False,0,not_in_any_source_text
10569,artillery shell,93,anchor,flagged,False,0,not_in_any_source_text
10567,assault rifle,93,anchor,flagged,False,0,not_in_any_source_text
10568,handgun,93,anchor,flagged,False,0,not_in_any_source_text
10562,m16 rifle,93,anchor,flagged,False,0,not_in_any_source_text
10580,led lamp,94,anchor,flagged,False,0,not_in_any_source_text
10581,lighting fixture,94,anchor,flagged,False,0,not_in_any_source_text
10575,office chair,94,anchor,flagged,False,0,not_in_any_source_text
10579,wardrobe,94,anchor,flagged,False,0,not_in_any_source_text
10584,board game,95,anchor,flagged,False,0,not_in_any_source_text
10582,plush toy,95,anchor,flagged,False,0,not_in_any_source_text
10587,sports equipment,95,anchor,flagged,False,0,not_in_any_source_text
10593,zip fastener,96,anchor,flagged,False,0,not_in_any_source_text
10603,artwork,97,anchor,flagged,False,0,not_in_any_source_text
10602,collector items,97,anchor,flagged,False,0,not_in_any_source_text
10604,original artwork,97,anchor,flagged,False,0,not_in_any_source_text
10500,industrial,84,modifier,review,,,circular_routing_to_own_chapter
10514,android,85,modifier,review,,,circular_routing_to_own_chapter
10512,li-ion,85,modifier,review,,,circular_routing_to_own_chapter
10513,lithium-ion,85,modifier,review,,,circular_routing_to_own_chapter
10515,wireless,85,modifier,review,,,circular_routing_to_own_chapter
10530,lead-acid,87,modifier,review,,,circular_routing_to_own_chapter
